loggedAt,username,action,objectType,objectId,status,error
2026-06-12T23:07:16,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T23:06:48,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T23:04:51,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:59:19,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T22:59:08,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:58:55,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:58:46,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T22:58:34,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:57:59,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:56:53,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T22:55:13,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T22:54:40,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T22:54:22,UAT.AUTOTEST1,LOGIN,DCT_USERS,UAT.AUTOTEST1,FAILURE,Account is inactive
2026-06-12T22:53:19,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T22:52:23,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T22:52:11,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T22:50:40,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:50:26,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:50:06,UAT.INACTIVE1,LOGIN,DCT_USERS,UAT.INACTIVE1,FAILURE,User not found
2026-06-12T22:50:01,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:49:57,ADMIN,LOGIN,DCT_USERS,ADMIN,FAILURE,Invalid credentials
2026-06-12T22:49:49,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:49:37,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:47:53,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T22:47:41,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T22:46:04,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:45:49,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:45:30,UAT.INACTIVE1,LOGIN,DCT_USERS,UAT.INACTIVE1,FAILURE,User not found
2026-06-12T22:45:25,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:45:22,ADMIN,LOGIN,DCT_USERS,ADMIN,FAILURE,Invalid credentials
2026-06-12T22:45:13,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:45:02,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:43:02,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T22:42:06,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T22:41:54,UAT.PWDTEST,LOGIN,,,SUCCESS,
